"BirdID","Year","n_repeats"
84,2004,6
2,2004,5
40,2004,5
78,2004,5
81,2004,5
95,2004,5
300,2005,5
484,2004,5
544,2000,5
5,2004,4
31,2004,4
51,2004,4
101,2004,4
102,2004,4
110,2004,4
117,2004,4
137,2004,4
166,2004,4
168,2004,4
173,2004,4
182,2004,4
289,2005,4
440,2007,4
442,2009,4
543,2000,4
562,2000,4
570,2000,4
593,2004,4
597,2000,4
612,2000,4
5,2005,3
15,2003,3
20,2004,3
27,2005,3
43,2004,3
49,2005,3
52,2003,3
52,2004,3
55,2004,3
59,2005,3
60,2004,3
64,2003,3
64,2004,3
65,2004,3
66,2004,3
69,2004,3
70,2004,3
71,2005,3
74,2005,3
75,2004,3
77,2004,3
78,2003,3
83,2004,3
83,2005,3
86,2004,3
87,2006,3
96,2004,3
112,2004,3
117,2003,3
118,2004,3
123,2005,3
124,2004,3
127,2004,3
128,2004,3
129,2003,3
139,2004,3
140,2004,3
141,2004,3
142,2004,3
146,2004,3
149,2005,3
149,2007,3
153,2004,3
156,2004,3
161,2004,3
163,2004,3
172,2005,3
175,2004,3
179,2003,3
181,2005,3
183,2004,3
186,2004,3
187,2004,3
189,2004,3
195,2003,3
202,2005,3
206,2005,3
224,2007,3
241,2005,3
267,2005,3
274,2005,3
283,2005,3
286,2005,3
296,2005,3
297,2005,3
332,2005,3
363,2007,3
425,2007,3
436,2007,3
444,2007,3
455,2004,3
466,2004,3
482,2004,3
484,2003,3
485,2000,3
490,2003,3
490,2004,3
495,2000,3
497,2004,3
498,2000,3
500,2000,3
503,2000,3
510,2005,3
515,2004,3
519,2004,3
534,2000,3
537,2000,3
541,2000,3
545,2000,3
556,2003,3
556,2004,3
559,2000,3
560,2000,3
563,2000,3
578,2000,3
586,2000,3
598,2000,3
600,2001,3
627,2000,3
2,2005,2
6,2005,2
10,2004,2
11,2002,2
13,2003,2
13,2004,2
15,2004,2
16,2004,2
16,2005,2
21,2001,2
25,2002,2
26,2004,2
27,2003,2
27,2004,2
28,2004,2
29,2001,2
30,2001,2
32,2003,2
33,2002,2
35,2004,2
