"date","score"
"08/04/2015","1"
"08/04/2015","1"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","0"
"08/04/2015","1"
"08/04/2015","2"
"08/04/2015","2"
"08/04/2015","0"
"08/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","0"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","1"
"09/04/2015","2"
"09/04/2015","1"
"10/04/2015","0"
