"TreeID","date","Year"
1,2010-04-15,2010
1,2011-04-05,2011
1,2012-03-30,2012
1,2013-04-28,2013
1,2015-04-15,2015
1,2016-04-13,2016
1,2018-04-19,2018
1,2021-04-09,2021
1,2022-04-04,2022
1,2023-04-18,2023
1,2024-04-10,2024
2,2010-04-19,2010
2,2011-04-07,2011
2,2012-04-02,2012
2,2013-05-02,2013
2,2015-04-18,2015
2,2016-04-13,2016
2,2017-04-07,2017
2,2018-04-23,2018
2,2021-04-21,2021
2,2022-04-11,2022
2,2023-04-18,2023
3,2010-05-01,2010
3,2011-04-09,2011
3,2012-04-24,2012
3,2013-05-08,2013
3,2015-04-22,2015
3,2016-05-08,2016
3,2017-04-11,2017
3,2018-04-23,2018
3,2021-05-20,2021
3,2022-04-20,2022
3,2024-04-10,2024
4,2011-04-05,2011
4,2012-03-30,2012
4,2013-04-26,2013
4,2015-04-13,2015
4,2016-04-13,2016
4,2017-04-07,2017
4,2018-04-16,2018
4,2021-04-09,2021
4,2022-04-04,2022
4,2023-04-18,2023
4,2024-04-10,2024
5,2010-04-17,2010
5,2011-04-05,2011
5,2012-03-30,2012
5,2013-04-28,2013
5,2015-04-13,2015
5,2016-04-13,2016
5,2018-04-16,2018
5,2021-04-09,2021
5,2022-04-04,2022
5,2023-04-18,2023
6,2010-04-23,2010
6,2011-04-07,2011
6,2012-04-02,2012
6,2013-04-30,2013
6,2015-04-15,2015
6,2016-04-14,2016
6,2017-04-10,2017
6,2018-04-20,2018
6,2021-04-27,2021
6,2022-04-28,2022
6,2023-04-18,2023
6,2024-04-10,2024
7,2010-04-13,2010
7,2011-04-07,2011
7,2012-04-02,2012
7,2013-04-30,2013
7,2015-04-19,2015
7,2016-04-22,2016
7,2017-04-10,2017
7,2018-04-20,2018
7,2021-04-27,2021
8,2010-04-22,2010
8,2012-04-11,2012
8,2015-04-21,2015
8,2016-04-22,2016
8,2017-04-14,2017
9,2010-04-14,2010
9,2012-04-01,2012
9,2015-04-25,2015
9,2016-04-22,2016
9,2017-04-14,2017
10,2010-04-26,2010
10,2012-04-07,2012
10,2013-04-28,2013
10,2015-04-19,2015
10,2016-04-27,2016
10,2017-04-10,2017
10,2018-04-17,2018
10,2022-04-19,2022
10,2024-04-16,2024
11,2010-04-24,2010
11,2012-04-01,2012
11,2015-04-17,2015
11,2016-04-19,2016
11,2017-04-08,2017
11,2018-04-21,2018
11,2021-05-06,2021
11,2022-04-19,2022
12,2010-04-22,2010
12,2012-03-29,2012
12,2013-04-26,2013
12,2015-04-14,2015
12,2016-04-16,2016
12,2017-04-08,2017
12,2018-04-17,2018
12,2021-04-19,2021
12,2022-04-05,2022
12,2023-04-19,2023
12,2024-04-16,2024
13,2010-04-22,2010
13,2012-04-15,2012
14,2010-04-24,2010
14,2012-03-29,2012
14,2013-04-28,2013
14,2015-04-17,2015
14,2016-04-16,2016
14,2017-04-08,2017
14,2018-04-17,2018
14,2021-04-29,2021
14,2022-04-12,2022
14,2023-04-19,2023
14,2024-04-16,2024
15,2012-04-13,2012
15,2013-04-28,2013
15,2015-04-17,2015
15,2016-04-16,2016
15,2017-04-08,2017
15,2018-04-17,2018
15,2022-04-08,2022
15,2023-04-19,2023
15,2024-04-16,2024
16,2012-04-03,2012
16,2013-04-24,2013
16,2015-04-16,2015
16,2016-04-16,2016
16,2017-04-08,2017
16,2018-04-21,2018
16,2021-04-29,2021
16,2022-04-07,2022
16,2023-04-19,2023
16,2024-04-17,2024
17,2012-04-13,2012
17,2013-05-02,2013
17,2015-04-21,2015
17,2016-04-19,2016
17,2017-04-10,2017
17,2018-04-17,2018
17,2021-05-06,2021
17,2022-04-12,2022
17,2023-04-19,2023
17,2024-04-17,2024
19,2010-04-30,2010
19,2012-04-25,2012
19,2015-04-23,2015
19,2016-05-05,2016
19,2017-04-23,2017
19,2018-04-21,2018
19,2022-05-24,2022
19,2024-04-17,2024
20,2010-05-02,2010
20,2012-05-03,2012
20,2015-05-14,2015
20,2016-05-09,2016
20,2017-04-27,2017
21,2012-04-13,2012
21,2013-05-06,2013
21,2015-04-23,2015
21,2016-05-05,2016
21,2017-04-14,2017
21,2018-04-24,2018
22,2012-04-19,2012
22,2013-05-02,2013
22,2015-04-16,2015
22,2016-04-19,2016
22,2017-04-14,2017
22,2018-04-21,2018
22,2022-04-19,2022
22,2023-04-19,2023
22,2024-04-29,2024
23,2010-04-18,2010
23,2012-04-03,2012
23,2015-04-16,2015
23,2016-04-16,2016
23,2017-04-08,2017
23,2018-04-17,2018
23,2021-04-29,2021
23,2022-04-07,2022
23,2023-04-19,2023
23,2024-04-17,2024
24,2010-04-26,2010
24,2012-04-13,2012
24,2015-04-16,2015
24,2016-04-16,2016
24,2017-04-14,2017
24,2018-04-21,2018
24,2021-04-29,2021
24,2022-04-19,2022
24,2023-04-27,2023
24,2024-04-17,2024
25,2012-04-17,2012
26,2010-04-21,2010
26,2011-04-07,2011
26,2012-04-22,2012
26,2013-04-30,2013
26,2015-04-18,2015
26,2016-04-20,2016
26,2017-04-10,2017
26,2018-04-19,2018
27,2010-04-21,2010
27,2011-04-09,2011
27,2012-04-20,2012
27,2013-04-30,2013
27,2015-04-18,2015
27,2016-04-17,2016
27,2017-04-07,2017
27,2018-04-19,2018
28,2010-04-27,2010
28,2011-04-11,2011
28,2012-04-10,2012
28,2013-05-04,2013
28,2015-04-18,2015
28,2016-04-14,2016
28,2017-04-10,2017
28,2018-04-23,2018
28,2021-04-27,2021
28,2022-04-20,2022
28,2023-04-28,2023
28,2024-04-10,2024
29,2010-04-13,2010
29,2011-04-07,2011
29,2012-04-02,2012
29,2013-04-24,2013
29,2015-04-15,2015
29,2016-04-14,2016
29,2017-04-06,2017
29,2018-04-23,2018
29,2021-04-15,2021
29,2022-04-11,2022
29,2023-04-18,2023
29,2024-04-18,2024
30,2011-04-09,2011
30,2012-04-10,2012
30,2013-04-26,2013
30,2015-04-15,2015
30,2016-04-18,2016
30,2017-04-06,2017
30,2018-04-20,2018
30,2021-04-27,2021
30,2022-04-11,2022
30,2023-04-28,2023
30,2024-04-18,2024
31,2010-04-29,2010
31,2011-04-09,2011
31,2012-04-10,2012
31,2013-05-06,2013
31,2015-04-24,2015
31,2016-04-18,2016
31,2017-04-11,2017
31,2018-04-23,2018
31,2022-04-20,2022
31,2023-04-28,2023
31,2024-04-18,2024
32,2011-04-09,2011
32,2013-05-02,2013
32,2018-04-23,2018
32,2021-04-27,2021
32,2022-04-20,2022
32,2023-04-28,2023
32,2024-04-10,2024
33,2011-04-13,2011
33,2013-05-02,2013
33,2018-04-23,2018
33,2021-05-03,2021
33,2022-04-20,2022
33,2023-04-18,2023
33,2024-04-10,2024
34,2010-05-01,2010
35,2011-04-09,2011
35,2013-05-04,2013
36,2011-04-13,2011
36,2013-05-04,2013
37,2011-04-09,2011
37,2013-04-26,2013
38,2011-04-09,2011
38,2013-05-02,2013
39,2011-04-09,2011
39,2013-04-26,2013
39,2018-04-20,2018
39,2021-04-27,2021
39,2022-04-11,2022
39,2023-04-28,2023
39,2024-04-18,2024
40,2011-04-11,2011
40,2013-04-30,2013
41,2011-04-11,2011
41,2013-04-30,2013
41,2018-04-20,2018
41,2021-04-27,2021
41,2022-04-11,2022
41,2023-04-28,2023
41,2024-04-08,2024
42,2011-04-09,2011
42,2013-04-30,2013
42,2016-04-25,2016
42,2017-04-13,2017
42,2018-04-20,2018
42,2021-04-27,2021
42,2022-04-11,2022
42,2023-04-28,2023
42,2024-04-08,2024
43,2011-04-13,2011
43,2013-04-30,2013
44,2011-04-17,2011
44,2013-05-04,2013
44,2016-05-07,2016
44,2017-04-15,2017
44,2018-04-20,2018
44,2021-05-26,2021
44,2022-04-11,2022
44,2023-05-17,2023
44,2024-04-18,2024
45,2011-04-09,2011
45,2013-05-10,2013
45,2018-04-26,2018
45,2022-04-25,2022
45,2024-04-18,2024
46,2010-04-25,2010
46,2011-04-11,2011
46,2012-04-26,2012
46,2013-05-04,2013
46,2015-04-22,2015
46,2016-05-03,2016
46,2017-04-11,2017
46,2018-04-23,2018
46,2021-04-27,2021
46,2022-04-20,2022
46,2023-04-26,2023
46,2024-04-18,2024
47,2010-04-27,2010
47,2011-04-13,2011
47,2012-04-30,2012
47,2013-05-04,2013
47,2015-04-19,2015
47,2016-05-03,2016
47,2017-04-15,2017
47,2018-04-23,2018
47,2021-05-03,2021
47,2022-04-22,2022
47,2023-05-17,2023
47,2024-04-18,2024
48,2011-04-15,2011
48,2013-05-12,2013
49,2010-05-01,2010
49,2011-04-17,2011
49,2012-05-08,2012
49,2013-05-12,2013
49,2015-04-19,2015
49,2016-05-07,2016
49,2017-04-25,2017
49,2018-04-20,2018
49,2021-06-08,2021
49,2022-04-11,2022
49,2023-05-17,2023
49,2024-04-08,2024
50,2011-04-11,2011
50,2013-05-02,2013
51,2011-04-11,2011
51,2013-05-02,2013
51,2018-04-20,2018
51,2022-04-11,2022
51,2024-04-08,2024
52,2011-04-11,2011
53,2011-04-11,2011
53,2013-05-02,2013
53,2016-04-25,2016
53,2017-04-13,2017
53,2018-04-23,2018
53,2021-04-08,2021
53,2022-04-11,2022
53,2023-04-26,2023
53,2024-04-18,2024
54,2011-04-21,2011
54,2013-05-12,2013
55,2011-04-11,2011
55,2013-05-04,2013
55,2023-04-26,2023
56,2011-04-13,2011
56,2013-05-04,2013
57,2011-04-05,2011
57,2013-04-26,2013
58,2011-04-07,2011
58,2013-04-26,2013
59,2011-04-13,2011
59,2013-05-02,2013
60,2011-04-07,2011
60,2013-04-30,2013
61,2010-04-23,2010
61,2011-04-07,2011
61,2012-04-10,2012
61,2013-04-30,2013
61,2015-04-18,2015
61,2016-04-14,2016
61,2017-04-10,2017
61,2018-04-20,2018
61,2021-04-27,2021
61,2022-04-07,2022
61,2023-04-18,2023
61,2024-04-08,2024
62,2011-04-09,2011
62,2013-05-02,2013
62,2018-04-20,2018
62,2021-05-26,2021
62,2022-04-11,2022
