"","Year","Air_Temp","Grass_Temp_Smp","Soil_Temp_2in","Soil_Temp_4in","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Grass_Temp_Min","Rain_mm_Tot","Month","date","April_Days"
"1",2010,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,2010-04-23,22
"2",2011,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,2011-04-11,10
"3",2012,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,2012-04-30,29
"4",2013,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,2013-05-02,31
"5",2015,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,2015-04-18,17
"6",2016,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,2016-04-16,15
"7",2017,10,13.9,10.2,9.4,14.4,2.2,25.3,0,0.1,4,2017-04-10,9
"8",2018,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,2018-04-19,18
"9",2021,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,2021-04-27,26
"10",2022,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,2022-05-02,31
"11",2023,8.8,11.4,8.7,8.6,13.3,2.9,18.2,6.4,2.9,4,2023-04-25,24
"12",2024,9.7,11.2,9.8,9.8,13.8,5.6,17.4,7.4,1.8,4,2024-04-08,7
