"TreeID","Year","first_stage2_date","April_Days","Air_Temp","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Rain_mm_Tot"
1,2007,2007-04-04,3,NA,NA,NA,NA,NA
1,2008,2008-04-04,3,NA,NA,NA,NA,NA
1,2009,2009-04-04,3,NA,NA,NA,NA,NA
1,2010,2010-04-15,14,9.7,14.1,1.7,26.2,0.7
1,2011,2011-04-05,4,12.4,18.1,4.8,23.9,0
1,2012,2012-03-30,-2,8.1,11.7,2.4,23.8,4
1,2013,2013-04-28,27,8,12.1,2.4,21.8,1.4
1,2015,2015-04-15,14,9.9,15.2,2.6,26.6,0.7
1,2016,2016-04-13,12,8.7,12.4,2.5,22.5,1.4
1,2018,2018-04-19,18,11.3,15.1,6.7,19,2.9
1,2021,2021-04-09,8,6.7,13.3,0.1,14.4,0.4
1,2022,2022-04-04,3,8.9,15.4,3.2,12.3,0.7
1,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
1,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
2,2007,2007-04-04,3,NA,NA,NA,NA,NA
2,2008,2008-04-18,17,NA,NA,NA,NA,NA
2,2009,2009-04-10,9,NA,NA,NA,NA,NA
2,2010,2010-04-19,18,9.7,14.1,1.7,26.2,0.7
2,2011,2011-04-07,6,12.4,18.1,4.8,23.9,0
2,2012,2012-04-02,1,8.1,11.7,2.4,23.8,4
2,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
2,2015,2015-04-18,17,9.9,15.2,2.6,26.6,0.7
2,2016,2016-04-13,12,8.7,12.4,2.5,22.5,1.4
2,2017,2017-04-07,6,10,14.4,2.2,25.3,0.1
2,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
2,2021,2021-04-21,20,6.7,13.3,0.1,14.4,0.4
2,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
2,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
3,2007,2007-04-14,13,NA,NA,NA,NA,NA
3,2008,2008-04-28,27,NA,NA,NA,NA,NA
3,2009,2009-04-22,21,NA,NA,NA,NA,NA
3,2010,2010-05-01,30,9.7,14.1,1.7,26.2,0.7
3,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
3,2012,2012-04-24,23,8.1,11.7,2.4,23.8,4
3,2013,2013-05-08,37,8,12.1,2.4,21.8,1.4
3,2015,2015-04-22,21,9.9,15.2,2.6,26.6,0.7
3,2016,2016-05-08,37,8.7,12.4,2.5,22.5,1.4
3,2017,2017-04-11,10,10,14.4,2.2,25.3,0.1
3,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
3,2021,2021-05-20,49,6.7,13.3,0.1,14.4,0.4
3,2022,2022-04-20,19,8.9,15.4,3.2,12.3,0.7
3,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
4,2007,2007-04-06,5,NA,NA,NA,NA,NA
4,2009,2009-03-28,-4,NA,NA,NA,NA,NA
4,2011,2011-04-05,4,12.4,18.1,4.8,23.9,0
4,2012,2012-03-30,-2,8.1,11.7,2.4,23.8,4
4,2013,2013-04-26,25,8,12.1,2.4,21.8,1.4
4,2015,2015-04-13,12,9.9,15.2,2.6,26.6,0.7
4,2016,2016-04-13,12,8.7,12.4,2.5,22.5,1.4
4,2017,2017-04-07,6,10,14.4,2.2,25.3,0.1
4,2018,2018-04-16,15,11.3,15.1,6.7,19,2.9
4,2021,2021-04-09,8,6.7,13.3,0.1,14.4,0.4
4,2022,2022-04-04,3,8.9,15.4,3.2,12.3,0.7
4,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
4,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
5,2007,2007-04-04,3,NA,NA,NA,NA,NA
5,2008,2008-04-04,3,NA,NA,NA,NA,NA
5,2009,2009-03-28,-4,NA,NA,NA,NA,NA
5,2010,2010-04-17,16,9.7,14.1,1.7,26.2,0.7
5,2011,2011-04-05,4,12.4,18.1,4.8,23.9,0
5,2012,2012-03-30,-2,8.1,11.7,2.4,23.8,4
5,2013,2013-04-28,27,8,12.1,2.4,21.8,1.4
5,2015,2015-04-13,12,9.9,15.2,2.6,26.6,0.7
5,2016,2016-04-13,12,8.7,12.4,2.5,22.5,1.4
5,2018,2018-04-16,15,11.3,15.1,6.7,19,2.9
5,2021,2021-04-09,8,6.7,13.3,0.1,14.4,0.4
5,2022,2022-04-04,3,8.9,15.4,3.2,12.3,0.7
5,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
6,2007,2007-04-12,11,NA,NA,NA,NA,NA
6,2008,2008-04-25,24,NA,NA,NA,NA,NA
6,2009,2009-04-14,13,NA,NA,NA,NA,NA
6,2010,2010-04-23,22,9.7,14.1,1.7,26.2,0.7
6,2011,2011-04-07,6,12.4,18.1,4.8,23.9,0
6,2012,2012-04-02,1,8.1,11.7,2.4,23.8,4
6,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
6,2015,2015-04-15,14,9.9,15.2,2.6,26.6,0.7
6,2016,2016-04-14,13,8.7,12.4,2.5,22.5,1.4
6,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
6,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
6,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
6,2022,2022-04-28,27,8.9,15.4,3.2,12.3,0.7
6,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
6,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
7,2007,2007-04-04,3,NA,NA,NA,NA,NA
7,2008,2008-04-05,4,NA,NA,NA,NA,NA
7,2009,2009-04-02,1,NA,NA,NA,NA,NA
7,2010,2010-04-13,12,9.7,14.1,1.7,26.2,0.7
7,2011,2011-04-07,6,12.4,18.1,4.8,23.9,0
7,2012,2012-04-02,1,8.1,11.7,2.4,23.8,4
7,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
7,2015,2015-04-19,18,9.9,15.2,2.6,26.6,0.7
7,2016,2016-04-22,21,8.7,12.4,2.5,22.5,1.4
7,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
7,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
7,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
8,2007,2007-04-12,11,NA,NA,NA,NA,NA
8,2008,2008-04-27,26,NA,NA,NA,NA,NA
8,2010,2010-04-22,21,9.7,14.1,1.7,26.2,0.7
8,2012,2012-04-11,10,8.1,11.7,2.4,23.8,4
8,2015,2015-04-21,20,9.9,15.2,2.6,26.6,0.7
8,2016,2016-04-22,21,8.7,12.4,2.5,22.5,1.4
8,2017,2017-04-14,13,10,14.4,2.2,25.3,0.1
9,2007,2007-04-06,5,NA,NA,NA,NA,NA
9,2008,2008-04-03,2,NA,NA,NA,NA,NA
9,2010,2010-04-14,13,9.7,14.1,1.7,26.2,0.7
9,2012,2012-04-01,0,8.1,11.7,2.4,23.8,4
9,2015,2015-04-25,24,9.9,15.2,2.6,26.6,0.7
9,2016,2016-04-22,21,8.7,12.4,2.5,22.5,1.4
9,2017,2017-04-14,13,10,14.4,2.2,25.3,0.1
10,2007,2007-04-10,9,NA,NA,NA,NA,NA
10,2008,2008-04-25,24,NA,NA,NA,NA,NA
10,2009,2009-04-12,11,NA,NA,NA,NA,NA
10,2010,2010-04-26,25,9.7,14.1,1.7,26.2,0.7
10,2012,2012-04-07,6,8.1,11.7,2.4,23.8,4
10,2013,2013-04-28,27,8,12.1,2.4,21.8,1.4
10,2015,2015-04-19,18,9.9,15.2,2.6,26.6,0.7
10,2016,2016-04-27,26,8.7,12.4,2.5,22.5,1.4
10,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
10,2018,2018-04-17,16,11.3,15.1,6.7,19,2.9
10,2022,2022-04-19,18,8.9,15.4,3.2,12.3,0.7
10,2024,2024-04-16,15,9.7,13.8,5.6,17.4,1.8
11,2007,2007-04-08,7,NA,NA,NA,NA,NA
11,2008,2008-04-25,24,NA,NA,NA,NA,NA
11,2010,2010-04-24,23,9.7,14.1,1.7,26.2,0.7
11,2012,2012-04-01,0,8.1,11.7,2.4,23.8,4
11,2015,2015-04-17,16,9.9,15.2,2.6,26.6,0.7
11,2016,2016-04-19,18,8.7,12.4,2.5,22.5,1.4
11,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
11,2018,2018-04-21,20,11.3,15.1,6.7,19,2.9
11,2021,2021-05-06,35,6.7,13.3,0.1,14.4,0.4
11,2022,2022-04-19,18,8.9,15.4,3.2,12.3,0.7
12,2007,2007-04-08,7,NA,NA,NA,NA,NA
12,2008,2008-04-17,16,NA,NA,NA,NA,NA
12,2009,2009-04-04,3,NA,NA,NA,NA,NA
12,2010,2010-04-22,21,9.7,14.1,1.7,26.2,0.7
12,2012,2012-03-29,-3,8.1,11.7,2.4,23.8,4
12,2013,2013-04-26,25,8,12.1,2.4,21.8,1.4
12,2015,2015-04-14,13,9.9,15.2,2.6,26.6,0.7
12,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
12,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
12,2018,2018-04-17,16,11.3,15.1,6.7,19,2.9
12,2021,2021-04-19,18,6.7,13.3,0.1,14.4,0.4
12,2022,2022-04-05,4,8.9,15.4,3.2,12.3,0.7
12,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
12,2024,2024-04-16,15,9.7,13.8,5.6,17.4,1.8
13,2007,2007-04-12,11,NA,NA,NA,NA,NA
13,2010,2010-04-22,21,9.7,14.1,1.7,26.2,0.7
13,2012,2012-04-15,14,8.1,11.7,2.4,23.8,4
14,2007,2007-04-06,5,NA,NA,NA,NA,NA
14,2008,2008-04-20,19,NA,NA,NA,NA,NA
14,2009,2009-04-14,13,NA,NA,NA,NA,NA
14,2010,2010-04-24,23,9.7,14.1,1.7,26.2,0.7
14,2012,2012-03-29,-3,8.1,11.7,2.4,23.8,4
14,2013,2013-04-28,27,8,12.1,2.4,21.8,1.4
14,2015,2015-04-17,16,9.9,15.2,2.6,26.6,0.7
14,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
14,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
14,2018,2018-04-17,16,11.3,15.1,6.7,19,2.9
14,2021,2021-04-29,28,6.7,13.3,0.1,14.4,0.4
14,2022,2022-04-12,11,8.9,15.4,3.2,12.3,0.7
14,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
14,2024,2024-04-16,15,9.7,13.8,5.6,17.4,1.8
15,2007,2007-04-10,9,NA,NA,NA,NA,NA
15,2009,2009-04-12,11,NA,NA,NA,NA,NA
15,2012,2012-04-13,12,8.1,11.7,2.4,23.8,4
15,2013,2013-04-28,27,8,12.1,2.4,21.8,1.4
15,2015,2015-04-17,16,9.9,15.2,2.6,26.6,0.7
15,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
15,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
15,2018,2018-04-17,16,11.3,15.1,6.7,19,2.9
15,2022,2022-04-08,7,8.9,15.4,3.2,12.3,0.7
15,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
15,2024,2024-04-16,15,9.7,13.8,5.6,17.4,1.8
16,2007,2007-04-06,5,NA,NA,NA,NA,NA
16,2008,2008-04-14,13,NA,NA,NA,NA,NA
16,2009,2009-04-02,1,NA,NA,NA,NA,NA
16,2012,2012-04-03,2,8.1,11.7,2.4,23.8,4
16,2013,2013-04-24,23,8,12.1,2.4,21.8,1.4
16,2015,2015-04-16,15,9.9,15.2,2.6,26.6,0.7
16,2016,2016-04-16,15,8.7,12.4,2.5,22.5,1.4
16,2017,2017-04-08,7,10,14.4,2.2,25.3,0.1
16,2018,2018-04-21,20,11.3,15.1,6.7,19,2.9
16,2021,2021-04-29,28,6.7,13.3,0.1,14.4,0.4
16,2022,2022-04-07,6,8.9,15.4,3.2,12.3,0.7
16,2023,2023-04-19,18,8.8,13.3,2.9,18.2,2.9
16,2024,2024-04-17,16,9.7,13.8,5.6,17.4,1.8
17,2007,2007-04-10,9,NA,NA,NA,NA,NA
17,2008,2008-04-26,25,NA,NA,NA,NA,NA
17,2009,2009-04-08,7,NA,NA,NA,NA,NA
17,2012,2012-04-13,12,8.1,11.7,2.4,23.8,4
17,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
17,2015,2015-04-21,20,9.9,15.2,2.6,26.6,0.7
17,2016,2016-04-19,18,8.7,12.4,2.5,22.5,1.4
17,2017,2017-04-10,9,10,14.4,2.2,25.3,0.1
