"TreeID","date","Year","Record","Air_Temp","Grass_Temp_Smp","Soil_Temp_2in","Soil_Temp_4in","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Grass_Temp_Min","Rain_mm_Tot","Month","April_Days"
1,2007-04-04,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1,2008-04-04,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1,2009-04-04,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
1,2010-04-15,2010,125.5,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,14
1,2011-04-05,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,4
1,2012-03-30,2012,856.5,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,-2
1,2013-04-28,2013,1221.5,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,27
1,2015-04-15,2015,2079.5,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,14
1,2016-04-13,2016,2445.5,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,12
1,2018-04-19,2018,3175.5,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,18
1,2021-04-09,2021,4271.5,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,8
1,2022-04-04,2022,4636.5,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,3
1,2023-04-18,2023,5000.5,8.8,11.4,8.7,8.6,13.3,2.9,18.2,6.4,2.9,4,17
1,2024-04-10,2024,5364.5,9.7,11.2,9.8,9.8,13.8,5.6,17.4,7.4,1.8,4,9
2,2007-04-04,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2,2008-04-18,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
2,2009-04-10,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
2,2010-04-19,2010,125.5,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,18
2,2011-04-07,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,6
2,2012-04-02,2012,856.5,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,1
2,2013-05-02,2013,1221.5,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,31
2,2015-04-18,2015,2079.5,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,17
2,2016-04-13,2016,2445.5,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,12
2,2017-04-07,2017,2810.5,10,13.9,10.2,9.4,14.4,2.2,25.3,0,0.1,4,6
2,2018-04-23,2018,3175.5,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,22
2,2021-04-21,2021,4271.5,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,20
2,2022-04-11,2022,4636.5,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,10
2,2023-04-18,2023,5000.5,8.8,11.4,8.7,8.6,13.3,2.9,18.2,6.4,2.9,4,17
3,2007-04-14,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
3,2008-04-28,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
3,2009-04-22,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
3,2010-05-01,2010,125.5,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,30
3,2011-04-09,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,8
3,2012-04-24,2012,856.5,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,23
3,2013-05-08,2013,1221.5,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,37
3,2015-04-22,2015,2079.5,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,21
3,2016-05-08,2016,2445.5,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,37
3,2017-04-11,2017,2810.5,10,13.9,10.2,9.4,14.4,2.2,25.3,0,0.1,4,10
3,2018-04-23,2018,3175.5,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,22
3,2021-05-20,2021,4271.5,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,49
3,2022-04-20,2022,4636.5,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,19
3,2024-04-10,2024,5364.5,9.7,11.2,9.8,9.8,13.8,5.6,17.4,7.4,1.8,4,9
4,2007-04-06,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
4,2009-03-28,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4
4,2011-04-05,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,4
4,2012-03-30,2012,856.5,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,-2
4,2013-04-26,2013,1221.5,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,25
4,2015-04-13,2015,2079.5,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,12
4,2016-04-13,2016,2445.5,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,12
4,2017-04-07,2017,2810.5,10,13.9,10.2,9.4,14.4,2.2,25.3,0,0.1,4,6
4,2018-04-16,2018,3175.5,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,15
4,2021-04-09,2021,4271.5,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,8
4,2022-04-04,2022,4636.5,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,3
4,2023-04-18,2023,5000.5,8.8,11.4,8.7,8.6,13.3,2.9,18.2,6.4,2.9,4,17
4,2024-04-10,2024,5364.5,9.7,11.2,9.8,9.8,13.8,5.6,17.4,7.4,1.8,4,9
5,2007-04-04,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
5,2008-04-04,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
5,2009-03-28,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4
5,2010-04-17,2010,125.5,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,16
5,2011-04-05,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,4
5,2012-03-30,2012,856.5,8.1,12.3,8.1,8.1,11.7,2.4,23.8,1.8,4,4,-2
5,2013-04-28,2013,1221.5,8,12.8,7.7,6.9,12.1,2.4,21.8,1.3,1.4,4,27
5,2015-04-13,2015,2079.5,9.9,13.9,10.5,9.2,15.2,2.6,26.6,2.1,0.7,4,12
5,2016-04-13,2016,2445.5,8.7,14.3,9.5,7.9,12.4,2.5,22.5,2,1.4,4,12
5,2018-04-16,2018,3175.5,11.3,12.9,9.8,9.4,15.1,6.7,19,6.6,2.9,4,15
5,2021-04-09,2021,4271.5,6.7,6.7,6.7,7,13.3,0.1,14.4,4.5,0.4,4,8
5,2022-04-04,2022,4636.5,8.9,8.1,8.1,8.3,15.4,3.2,12.3,6.6,0.7,4,3
5,2023-04-18,2023,5000.5,8.8,11.4,8.7,8.6,13.3,2.9,18.2,6.4,2.9,4,17
6,2007-04-12,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
6,2008-04-25,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
6,2009-04-14,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
6,2010-04-23,2010,125.5,9.7,16.4,10,8.9,14.1,1.7,26.2,2.4,0.7,4,22
6,2011-04-07,2011,490.5,12.4,14.7,11.9,11.3,18.1,4.8,23.9,7.5,0,4,6
