"TreeID","Year","first_stage2_date","Julian_Day"
1,2007,2007-04-04,94
1,2008,2008-04-04,95
1,2009,2009-04-04,94
1,2010,2010-04-15,105
1,2011,2011-04-05,95
1,2012,2012-03-30,90
1,2013,2013-04-28,118
1,2015,2015-04-15,105
1,2016,2016-04-13,104
1,2018,2018-04-19,109
1,2021,2021-04-09,99
1,2022,2022-04-04,94
1,2023,2023-04-18,108
1,2024,2024-04-10,101
2,2007,2007-04-04,94
2,2008,2008-04-18,109
2,2009,2009-04-10,100
2,2010,2010-04-19,109
2,2011,2011-04-07,97
2,2012,2012-04-02,93
2,2013,2013-05-02,122
2,2015,2015-04-18,108
2,2016,2016-04-13,104
2,2017,2017-04-07,97
2,2018,2018-04-23,113
2,2021,2021-04-21,111
2,2022,2022-04-11,101
2,2023,2023-04-18,108
3,2007,2007-04-14,104
3,2008,2008-04-28,119
3,2009,2009-04-22,112
3,2010,2010-05-01,121
3,2011,2011-04-09,99
3,2012,2012-04-24,115
3,2013,2013-05-08,128
3,2015,2015-04-22,112
3,2016,2016-05-08,129
3,2017,2017-04-11,101
3,2018,2018-04-23,113
3,2021,2021-05-20,140
3,2022,2022-04-20,110
3,2024,2024-04-10,101
4,2007,2007-04-06,96
4,2009,2009-03-28,87
4,2011,2011-04-05,95
4,2012,2012-03-30,90
4,2013,2013-04-26,116
4,2015,2015-04-13,103
4,2016,2016-04-13,104
4,2017,2017-04-07,97
4,2018,2018-04-16,106
4,2021,2021-04-09,99
4,2022,2022-04-04,94
4,2023,2023-04-18,108
4,2024,2024-04-10,101
5,2007,2007-04-04,94
5,2008,2008-04-04,95
5,2009,2009-03-28,87
5,2010,2010-04-17,107
5,2011,2011-04-05,95
5,2012,2012-03-30,90
5,2013,2013-04-28,118
5,2015,2015-04-13,103
5,2016,2016-04-13,104
5,2018,2018-04-16,106
5,2021,2021-04-09,99
5,2022,2022-04-04,94
5,2023,2023-04-18,108
6,2007,2007-04-12,102
6,2008,2008-04-25,116
6,2009,2009-04-14,104
6,2010,2010-04-23,113
6,2011,2011-04-07,97
6,2012,2012-04-02,93
6,2013,2013-04-30,120
6,2015,2015-04-15,105
6,2016,2016-04-14,105
6,2017,2017-04-10,100
6,2018,2018-04-20,110
6,2021,2021-04-27,117
6,2022,2022-04-28,118
6,2023,2023-04-18,108
6,2024,2024-04-10,101
7,2007,2007-04-04,94
7,2008,2008-04-05,96
7,2009,2009-04-02,92
7,2010,2010-04-13,103
7,2011,2011-04-07,97
7,2012,2012-04-02,93
7,2013,2013-04-30,120
7,2015,2015-04-19,109
7,2016,2016-04-22,113
7,2017,2017-04-10,100
7,2018,2018-04-20,110
7,2021,2021-04-27,117
8,2007,2007-04-12,102
8,2008,2008-04-27,118
8,2010,2010-04-22,112
8,2012,2012-04-11,102
8,2015,2015-04-21,111
8,2016,2016-04-22,113
8,2017,2017-04-14,104
9,2007,2007-04-06,96
9,2008,2008-04-03,94
9,2010,2010-04-14,104
9,2012,2012-04-01,92
9,2015,2015-04-25,115
9,2016,2016-04-22,113
9,2017,2017-04-14,104
10,2007,2007-04-10,100
10,2008,2008-04-25,116
10,2009,2009-04-12,102
10,2010,2010-04-26,116
10,2012,2012-04-07,98
10,2013,2013-04-28,118
10,2015,2015-04-19,109
10,2016,2016-04-27,118
10,2017,2017-04-10,100
10,2018,2018-04-17,107
10,2022,2022-04-19,109
10,2024,2024-04-16,107
11,2007,2007-04-08,98
11,2008,2008-04-25,116
11,2010,2010-04-24,114
11,2012,2012-04-01,92
11,2015,2015-04-17,107
11,2016,2016-04-19,110
11,2017,2017-04-08,98
11,2018,2018-04-21,111
11,2021,2021-05-06,126
11,2022,2022-04-19,109
12,2007,2007-04-08,98
12,2008,2008-04-17,108
12,2009,2009-04-04,94
12,2010,2010-04-22,112
12,2012,2012-03-29,89
12,2013,2013-04-26,116
12,2015,2015-04-14,104
12,2016,2016-04-16,107
12,2017,2017-04-08,98
12,2018,2018-04-17,107
12,2021,2021-04-19,109
12,2022,2022-04-05,95
12,2023,2023-04-19,109
12,2024,2024-04-16,107
13,2007,2007-04-12,102
13,2010,2010-04-22,112
13,2012,2012-04-15,106
14,2007,2007-04-06,96
14,2008,2008-04-20,111
14,2009,2009-04-14,104
14,2010,2010-04-24,114
14,2012,2012-03-29,89
14,2013,2013-04-28,118
14,2015,2015-04-17,107
14,2016,2016-04-16,107
14,2017,2017-04-08,98
14,2018,2018-04-17,107
14,2021,2021-04-29,119
14,2022,2022-04-12,102
14,2023,2023-04-19,109
14,2024,2024-04-16,107
15,2007,2007-04-10,100
15,2009,2009-04-12,102
15,2012,2012-04-13,104
15,2013,2013-04-28,118
15,2015,2015-04-17,107
15,2016,2016-04-16,107
15,2017,2017-04-08,98
15,2018,2018-04-17,107
15,2022,2022-04-08,98
15,2023,2023-04-19,109
15,2024,2024-04-16,107
16,2007,2007-04-06,96
16,2008,2008-04-14,105
16,2009,2009-04-02,92
16,2012,2012-04-03,94
16,2013,2013-04-24,114
16,2015,2015-04-16,106
16,2016,2016-04-16,107
16,2017,2017-04-08,98
16,2018,2018-04-21,111
16,2021,2021-04-29,119
16,2022,2022-04-07,97
16,2023,2023-04-19,109
16,2024,2024-04-17,108
17,2007,2007-04-10,100
17,2008,2008-04-26,117
17,2009,2009-04-08,98
17,2012,2012-04-13,104
17,2013,2013-05-02,122
17,2015,2015-04-21,111
17,2016,2016-04-19,110
17,2017,2017-04-10,100
17,2018,2018-04-17,107
17,2021,2021-05-06,126
17,2022,2022-04-12,102
17,2023,2023-04-19,109
17,2024,2024-04-17,108
18,2007,2007-04-14,104
19,2007,2007-04-16,106
19,2010,2010-04-30,120
19,2012,2012-04-25,116
19,2015,2015-04-23,113
19,2016,2016-05-05,126
19,2017,2017-04-23,113
19,2018,2018-04-21,111
19,2022,2022-05-24,144
19,2024,2024-04-17,108
20,2007,2007-04-16,106
20,2010,2010-05-02,122
20,2012,2012-05-03,124
20,2015,2015-05-14,134
20,2016,2016-05-09,130
20,2017,2017-04-27,117
21,2007,2007-04-16,106
21,2008,2008-04-26,117
21,2009,2009-04-16,106
21,2012,2012-04-13,104
21,2013,2013-05-06,126
21,2015,2015-04-23,113
21,2016,2016-05-05,126
21,2017,2017-04-14,104
21,2018,2018-04-24,114
22,2007,2007-04-10,100
22,2008,2008-04-22,113
22,2009,2009-04-16,106
22,2012,2012-04-19,110
22,2013,2013-05-02,122
22,2015,2015-04-16,106
22,2016,2016-04-19,110
22,2017,2017-04-14,104
22,2018,2018-04-21,111
22,2022,2022-04-19,109
22,2023,2023-04-19,109
22,2024,2024-04-29,120
23,2007,2007-04-10,100
23,2010,2010-04-18,108
23,2012,2012-04-03,94
23,2015,2015-04-16,106
23,2016,2016-04-16,107
23,2017,2017-04-08,98
23,2018,2018-04-17,107
23,2021,2021-04-29,119
23,2022,2022-04-07,97
23,2023,2023-04-19,109
23,2024,2024-04-17,108
24,2007,2007-04-12,102
24,2010,2010-04-26,116
24,2012,2012-04-13,104
24,2015,2015-04-16,106
24,2016,2016-04-16,107
24,2017,2017-04-14,104
24,2018,2018-04-21,111
24,2021,2021-04-29,119
24,2022,2022-04-19,109
24,2023,2023-04-27,117
24,2024,2024-04-17,108
25,2007,2007-04-10,100
25,2012,2012-04-17,108
26,2007,2007-04-14,104
26,2008,2008-04-24,115
26,2009,2009-04-14,104
26,2010,2010-04-21,111
26,2011,2011-04-07,97
26,2012,2012-04-22,113
26,2013,2013-04-30,120
26,2015,2015-04-18,108
26,2016,2016-04-20,111
26,2017,2017-04-10,100
26,2018,2018-04-19,109
27,2007,2007-04-12,102
27,2008,2008-04-26,117
27,2009,2009-04-14,104
27,2010,2010-04-21,111
27,2011,2011-04-09,99
27,2012,2012-04-20,111
27,2013,2013-04-30,120
27,2015,2015-04-18,108
27,2016,2016-04-17,108
27,2017,2017-04-07,97
27,2018,2018-04-19,109
28,2007,2007-04-12,102
28,2008,2008-04-27,118
28,2009,2009-04-18,108
28,2010,2010-04-27,117
28,2011,2011-04-11,101
28,2012,2012-04-10,101
28,2013,2013-05-04,124
28,2015,2015-04-18,108
28,2016,2016-04-14,105
28,2017,2017-04-10,100
28,2018,2018-04-23,113
28,2021,2021-04-27,117
28,2022,2022-04-20,110
28,2023,2023-04-28,118
28,2024,2024-04-10,101
29,2007,2007-04-06,96
29,2008,2008-04-07,98
29,2009,2009-04-06,96
29,2010,2010-04-13,103
29,2011,2011-04-07,97
29,2012,2012-04-02,93
29,2013,2013-04-24,114
29,2015,2015-04-15,105
29,2016,2016-04-14,105
29,2017,2017-04-06,96
29,2018,2018-04-23,113
29,2021,2021-04-15,105
29,2022,2022-04-11,101
29,2023,2023-04-18,108
29,2024,2024-04-18,109
30,2007,2007-04-06,96
30,2011,2011-04-09,99
30,2012,2012-04-10,101
30,2013,2013-04-26,116
30,2015,2015-04-15,105
30,2016,2016-04-18,109
30,2017,2017-04-06,96
30,2018,2018-04-20,110
30,2021,2021-04-27,117
30,2022,2022-04-11,101
30,2023,2023-04-28,118
30,2024,2024-04-18,109
31,2007,2007-04-14,104
31,2008,2008-04-27,118
31,2009,2009-04-20,110
31,2010,2010-04-29,119
31,2011,2011-04-09,99
31,2012,2012-04-10,101
31,2013,2013-05-06,126
31,2015,2015-04-24,114
31,2016,2016-04-18,109
31,2017,2017-04-11,101
31,2018,2018-04-23,113
31,2022,2022-04-20,110
31,2023,2023-04-28,118
31,2024,2024-04-18,109
32,2007,2007-04-12,102
32,2011,2011-04-09,99
32,2013,2013-05-02,122
32,2018,2018-04-23,113
32,2021,2021-04-27,117
32,2022,2022-04-20,110
32,2023,2023-04-28,118
32,2024,2024-04-10,101
33,2007,2007-04-14,104
33,2011,2011-04-13,103
33,2013,2013-05-02,122
33,2018,2018-04-23,113
33,2021,2021-05-03,123
33,2022,2022-04-20,110
33,2023,2023-04-18,108
33,2024,2024-04-10,101
34,2007,2007-04-10,100
34,2008,2008-04-25,116
34,2009,2009-04-16,106
34,2010,2010-05-01,121
35,2007,2007-04-06,96
35,2011,2011-04-09,99
35,2013,2013-05-04,124
36,2007,2007-04-06,96
36,2011,2011-04-13,103
36,2013,2013-05-04,124
37,2007,2007-04-06,96
37,2011,2011-04-09,99
37,2013,2013-04-26,116
38,2007,2007-04-10,100
38,2011,2011-04-09,99
38,2013,2013-05-02,122
39,2007,2007-04-10,100
39,2011,2011-04-09,99
39,2013,2013-04-26,116
39,2018,2018-04-20,110
39,2021,2021-04-27,117
39,2022,2022-04-11,101
39,2023,2023-04-28,118
39,2024,2024-04-18,109
40,2007,2007-04-10,100
40,2011,2011-04-11,101
40,2013,2013-04-30,120
41,2007,2007-04-10,100
41,2011,2011-04-11,101
41,2013,2013-04-30,120
41,2018,2018-04-20,110
41,2021,2021-04-27,117
41,2022,2022-04-11,101
