DATE,TIME,LAT,NS,LON,EW,POWER(V),#FILES 
2025-Oct-08,10:25:00,51.40949,N,0.63968,W,5.5,1 
DATE,TIME,LAT,NS,LON,EW,POWER(V),#FILES 
2025-Oct-08,11:30:00,51.41477,N,0.64254,W,5.4,0 
2025-Oct-08,11:31:00,51.41477,N,0.64254,W,5.4,1 
2025-Oct-08,11:32:00,51.41477,N,0.64254,W,5.5,0 
2025-Oct-08,11:33:00,51.41477,N,0.64254,W,5.5,0 
2025-Oct-08,11:34:00,51.41477,N,0.64254,W,5.5,0 
2025-Oct-08,11:35:00,51.41477,N,0.64254,W,5.5,0 
2025-Oct-08,11:36:00,51.41477,N,0.64254,W,5.5,1 
2025-Oct-08,11:45:00,51.41477,N,0.64254,W,5.5,0 
2025-Oct-08,11:46:00,51.41477,N,0.64254,W,5.5,1 
